ID,Checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Saving_accout,Present_employment,Installment_rate,Personal_status___sex,Other_debtors_guarantors,Present_residence,Property,Age,Other_installment_plan,Housing,Num_of_existing_credits,Job,Num_of_people_liable,Telephone,Foreign_worker,Credit_status
306,4,15,2,0,3186,4,4,2,2,1,3,3,20,3,1,1,3,1,1,1,N
307,2,12,2,1,2028,5,3,4,3,1,2,3,30,3,2,1,3,1,1,1,N
308,2,12,4,0,958,1,4,2,3,1,3,1,47,3,2,2,2,2,1,1,N
309,4,21,3,2,1591,2,4,4,3,1,3,1,34,3,2,2,4,1,1,1,N
310,2,18,2,1,2779,1,3,1,4,1,3,3,21,3,1,1,3,1,2,1,N
311,4,28,4,3,2743,1,5,4,3,1,2,3,29,3,2,2,3,1,1,1,N
312,4,18,4,3,1149,4,3,4,3,1,3,1,46,3,2,2,3,1,1,1,N
313,4,9,2,2,1313,1,5,1,3,1,4,3,20,3,2,1,3,1,1,1,N
314,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,1,1,1,N
315,1,6,4,2,1872,1,1,4,3,1,4,4,36,3,3,3,4,1,2,1,N
316,4,24,4,5,2058,1,3,4,1,1,2,1,33,3,2,2,3,1,2,1,N
317,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,1,1,1,N
318,4,6,2,5,660,3,4,2,4,1,4,1,23,3,1,1,2,1,1,1,N
319,4,24,4,0,1287,4,5,4,2,1,4,1,37,3,2,2,3,1,2,1,N
320,1,42,4,5,3394,1,1,4,3,2,4,3,65,3,2,2,1,1,1,1,N
321,4,12,2,0,1884,1,5,4,3,1,4,3,39,3,2,1,4,1,2,1,N
322,1,12,2,2,1620,1,3,2,2,2,3,2,30,3,2,1,3,1,1,1,N
323,2,20,3,10,2629,1,3,2,3,1,3,3,29,1,2,2,3,1,2,1,N
324,4,9,4,6,1244,5,5,4,2,1,4,2,41,3,1,2,2,1,1,1,N
325,2,7,2,3,2576,1,3,2,3,3,2,1,35,3,2,1,3,1,1,1,N
326,3,12,2,2,1424,5,5,3,2,1,4,1,55,3,2,1,4,1,2,1,N
327,4,36,4,1,11054,5,3,4,3,1,2,3,30,3,2,1,4,1,2,1,N
328,4,6,2,3,518,1,3,3,2,1,1,1,29,3,2,1,3,1,1,1,N
329,4,12,0,2,2759,1,5,2,3,1,4,2,34,3,2,2,3,1,1,1,N
330,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1,N
331,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1,N
332,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,N
333,1,6,2,4,343,1,2,4,2,1,1,1,27,3,2,1,3,1,1,1,N
334,4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,1,2,1,N
335,1,36,2,2,3620,1,3,1,3,3,2,2,37,3,2,1,3,2,1,1,N
336,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,1,N
337,2,12,2,2,3017,1,2,3,2,1,1,1,34,3,1,1,4,1,1,1,N
338,2,12,2,8,754,5,5,4,3,1,4,2,38,3,2,2,3,1,1,1,N
339,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,1,2,1,N
340,1,24,2,1,2924,1,3,3,3,3,4,4,63,1,2,1,3,2,2,1,N
341,4,48,3,3,7238,5,5,3,3,1,3,3,32,1,2,2,3,2,1,1,N
342,4,33,3,9,2764,1,3,2,2,1,2,3,26,3,2,2,3,1,2,1,N
343,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,1,2,1,N
344,4,6,2,8,1238,5,1,4,3,1,4,2,36,3,2,1,4,2,2,1,N
345,4,39,2,1,2569,3,3,4,3,1,4,3,24,3,2,1,3,1,1,1,N
346,3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,1,1,1,N
347,2,12,2,9,1037,2,4,3,3,1,4,1,39,3,2,1,2,1,1,1,N
348,1,15,4,2,1478,1,5,4,3,1,4,3,44,3,2,2,3,2,2,1,N
349,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,1,N
350,2,24,2,0,1201,1,2,4,3,1,1,2,26,3,2,1,3,1,1,1,N
351,1,30,2,2,3622,4,5,4,2,1,4,2,57,3,1,2,3,1,2,1,N
352,4,15,3,2,960,4,4,3,2,1,2,2,30,3,2,2,3,1,1,1,N
353,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,1,2,1,N
354,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,1,2,1,N
355,4,24,2,0,3757,1,5,4,2,2,4,4,62,3,3,1,3,1,2,1,N
356,4,10,2,0,1418,2,3,3,3,1,2,1,35,3,1,1,2,1,1,2,N
357,4,6,2,0,3518,1,3,2,3,3,3,2,26,3,1,1,3,1,1,1,N
358,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,1,N
359,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,1,N
360,2,6,2,3,368,5,5,4,3,1,4,2,38,3,2,1,3,1,1,1,N
361,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,2,1,2,N
362,4,24,4,2,1585,1,4,4,3,1,3,2,40,3,2,2,3,1,1,1,N
363,2,18,2,3,1301,1,5,4,4,3,2,1,32,3,2,1,2,1,1,1,N
364,3,6,4,0,1323,2,5,2,1,1,4,3,28,3,2,2,3,2,2,1,N
365,1,36,2,1,5493,1,5,2,3,1,4,4,42,3,3,1,3,2,1,1,N
366,3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,1,1,1,N
367,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,1,2,1,N
368,4,24,2,3,1413,1,3,4,4,1,2,2,28,3,2,1,3,1,1,1,N
369,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,1,2,1,N
370,4,36,2,1,4686,1,3,2,3,1,2,4,32,3,3,1,4,1,2,1,N
371,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1,N
372,2,12,3,3,585,1,3,4,4,2,4,1,20,3,1,2,3,1,1,1,N
373,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,1,N
374,1,6,4,0,609,1,4,4,2,1,3,2,37,3,2,2,3,1,1,2,N
375,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,2,N
376,1,6,2,0,1203,2,5,3,3,1,2,2,43,3,2,1,3,1,2,1,N
377,4,6,4,3,700,5,5,4,3,1,4,4,36,3,3,2,3,1,1,1,N
378,4,24,4,5,5507,1,5,3,3,1,4,4,44,3,3,2,3,1,1,1,N
379,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,1,1,1,N
380,2,18,2,3,1113,1,3,4,2,3,4,1,26,3,2,1,2,2,1,1,N
381,2,26,2,1,7966,1,2,2,3,1,3,3,30,3,2,2,3,1,1,1,N
382,4,15,4,6,1532,2,3,4,2,1,3,3,31,3,2,1,3,1,1,1,N
383,4,4,4,3,1503,1,4,2,3,1,1,1,42,3,2,2,2,2,1,1,N
384,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,2,2,1,N
385,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,1,N
386,4,12,3,1,1503,1,3,4,4,1,4,1,41,3,1,1,3,1,1,1,N
387,4,24,2,3,1311,2,4,4,4,1,3,2,26,3,2,1,3,1,2,1,N
388,4,24,2,3,3105,5,2,4,3,1,2,3,25,3,2,2,3,1,1,1,N
389,1,6,2,0,1374,5,1,4,2,1,3,2,75,3,2,1,4,1,2,1,N
390,2,18,4,2,3612,1,5,3,2,1,4,2,37,3,2,1,3,1,2,1,N
391,3,18,2,2,3049,1,2,1,2,1,1,2,45,2,2,1,2,1,1,1,N
392,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,1,2,1,N
393,4,12,4,0,1255,1,5,4,3,1,4,1,61,3,2,2,2,1,1,1,N
394,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,1,2,1,N
395,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,2,1,1,N
396,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,1,2,1,N
397,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,1,N
398,4,6,1,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,2,1,1,N
399,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,1,1,1,N
400,2,9,2,6,1199,1,4,4,2,1,4,2,67,3,2,2,4,1,2,1,N
401,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,1,N
402,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1,N
403,2,24,3,9,4712,5,3,4,3,1,2,2,37,1,2,2,4,1,2,1,N
404,2,24,3,3,1553,2,4,3,2,1,2,2,23,3,1,2,3,1,2,1,N
405,4,24,4,3,2578,4,5,2,3,1,2,3,34,3,2,1,3,1,1,1,N
406,2,48,2,3,3979,5,4,4,3,1,1,3,41,3,2,2,3,2,2,1,N
407,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,1,N
408,4,24,2,1,5433,5,1,2,2,1,4,2,26,3,1,1,4,1,2,1,N
409,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,1,N
410,2,9,2,3,1082,1,5,4,3,1,4,3,27,3,2,2,2,1,1,1,N
411,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,1,N
412,2,12,2,3,2930,1,4,2,2,1,1,1,27,3,2,1,3,1,1,1,N
413,4,24,4,6,1927,5,3,3,2,1,2,3,33,3,2,2,3,1,2,1,N
414,4,24,2,8,937,1,2,4,4,1,3,3,27,3,2,2,2,1,1,1,N
415,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1,N
416,4,9,2,2,1388,1,3,4,2,1,2,1,26,3,1,1,3,1,1,1,N
417,4,12,2,0,2133,5,5,4,2,1,4,4,52,3,3,1,4,1,2,1,N
418,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,N
419,1,12,2,2,1289,1,3,4,3,3,1,2,21,3,2,1,2,1,1,1,N
420,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,1,2,1,N
421,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1,N
422,4,21,2,9,1572,4,5,4,2,1,4,1,36,1,2,1,2,1,1,1,N
423,4,24,3,9,3863,1,3,1,3,1,2,4,32,3,3,1,3,1,1,1,N
424,2,7,2,3,2329,1,2,1,2,3,1,1,45,3,2,1,3,1,1,1,N
425,3,10,2,2,1275,1,2,4,2,1,2,2,23,3,2,1,3,1,1,1,N
426,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1,N
427,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,1,2,1,N
428,4,18,2,3,2051,1,2,4,3,1,1,1,33,3,2,1,3,1,1,1,N
429,4,15,2,1,1300,5,5,4,3,1,4,4,45,1,3,1,3,2,1,1,N
430,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,1,1,1,N
431,1,24,1,1,3632,1,3,1,2,3,4,3,22,1,1,1,3,1,1,2,N
432,2,48,0,9,12204,5,3,2,3,1,2,3,48,1,2,1,4,1,2,1,N
433,2,60,3,3,9157,5,3,2,3,1,2,4,27,3,3,1,4,1,1,1,N
434,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,2,1,1,N
435,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,1,N
436,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,1,1,1,N
437,1,12,2,2,1858,1,2,4,2,1,1,3,22,3,1,1,3,1,1,1,N
438,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,1,1,1,N
439,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,1,N
440,4,42,4,2,4042,3,3,4,3,1,4,1,36,3,2,2,3,1,2,1,N
441,4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,1,1,1,N
442,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1,N
443,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1,N
444,4,12,2,6,1393,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1,N
445,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1,N
446,4,60,3,3,15653,1,4,2,3,1,4,3,21,3,2,2,3,1,2,1,N
447,4,12,2,3,1493,1,2,4,2,1,3,3,34,3,2,1,3,2,1,1,N
448,2,15,2,5,1308,1,5,4,3,1,4,3,38,3,2,2,2,1,1,1,N
449,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1,N
450,1,18,4,3,1880,1,4,4,4,1,1,2,32,3,2,2,4,1,2,1,N
451,1,30,0,2,4583,1,3,2,1,3,2,1,32,3,2,2,3,1,1,1,N
452,1,48,2,6,7476,1,4,4,3,1,1,4,50,3,3,1,4,1,2,1,N
453,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,1,2,1,N
454,1,14,2,0,3973,1,1,1,3,1,4,4,22,3,3,1,3,1,1,1,N
455,4,48,2,3,10222,5,4,4,3,1,3,3,37,2,2,1,3,1,2,1,N
456,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,1,N
457,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,1,2,1,N
458,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,1,N
459,4,21,2,2,2241,1,5,4,3,1,2,1,50,3,2,2,3,1,1,1,N
460,2,6,3,2,1050,1,1,4,3,1,1,2,35,2,2,2,4,1,2,1,N
461,3,6,4,6,1047,1,3,2,2,1,4,2,50,3,2,1,2,1,1,1,N
462,4,24,4,10,6314,1,1,4,3,2,2,4,27,1,2,2,4,1,2,1,N
463,2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,2,2,1,N
464,4,48,1,9,3609,1,3,1,2,1,1,1,27,2,2,1,3,1,1,1,N
465,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,1,1,1,N
466,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,1,N
467,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,1,2,1,N
468,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,1,2,1,N
469,4,6,4,0,2080,3,3,1,4,1,2,3,24,3,2,1,3,1,1,1,N
470,4,30,4,3,4530,1,4,4,2,1,4,3,26,3,1,1,4,1,2,1,N
471,4,24,4,2,5150,1,5,4,3,1,4,3,33,3,2,1,3,1,2,1,N
472,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,1,N
473,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,1,1,1,N
474,4,6,2,6,1538,1,2,1,2,1,2,4,56,3,2,1,3,1,1,1,N
475,4,12,2,3,2279,5,3,4,3,1,4,4,37,3,3,1,3,1,2,1,N
476,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,1,1,1,N
477,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,1,N
478,2,36,3,9,9857,2,4,1,3,1,3,2,31,3,2,2,2,2,2,1,N
479,4,60,2,0,6527,5,3,4,3,1,4,4,34,3,3,1,3,2,2,1,N
480,3,10,4,3,1347,5,4,4,3,1,2,2,27,3,2,2,3,1,2,1,N
481,2,36,3,0,2862,2,5,4,3,1,3,4,30,3,3,1,3,1,1,1,N
482,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,1,N
483,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,2,1,1,N
484,1,15,4,2,975,1,3,2,1,1,3,2,25,3,2,2,3,1,1,1,N
485,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,1,1,1,N
486,2,24,2,3,2896,2,2,2,3,1,1,3,29,3,2,1,3,1,1,1,N
487,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,2,1,1,N
488,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,1,2,1,N
489,4,6,2,1,1236,3,3,2,3,1,4,2,50,3,1,1,3,1,1,1,N
490,2,12,2,3,1103,1,4,4,3,3,3,1,29,3,2,2,3,1,1,2,N
491,4,12,4,0,926,1,1,1,2,1,2,2,38,3,2,1,1,1,1,1,N
492,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,1,1,1,N
493,3,15,2,6,1905,1,5,4,3,1,4,3,40,3,1,1,4,1,2,1,N
494,3,24,2,3,1377,2,5,4,2,1,2,4,47,3,3,1,3,1,2,1,N
495,2,30,3,9,2503,2,5,4,3,1,2,2,41,2,2,2,3,1,1,1,N
496,2,27,2,9,2528,1,2,4,2,1,1,2,32,3,2,1,3,2,2,1,N
497,4,15,2,0,5324,3,5,1,2,1,4,4,35,3,3,1,3,1,1,1,N
498,2,9,2,3,1206,1,5,4,2,1,4,1,25,3,2,1,3,1,1,1,N
499,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,2,1,1,N
500,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,1,2,1,N
501,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,1,N
502,1,9,4,3,1138,1,3,4,3,1,4,1,25,3,2,2,2,1,1,1,N
503,4,30,4,1,7596,5,5,1,3,1,4,3,63,3,2,2,3,1,1,1,N
504,4,30,4,3,3077,5,5,3,3,1,2,3,40,3,2,2,3,2,2,1,N
505,4,18,2,3,1505,1,3,4,3,1,2,4,32,3,3,1,4,1,2,1,N
506,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,1,N
507,2,20,0,1,6148,2,5,3,4,1,4,3,31,1,2,2,3,1,2,1,N
508,2,9,2,3,790,3,3,4,2,1,3,1,66,3,2,1,2,1,1,1,N
509,4,6,4,0,250,4,3,2,2,1,2,1,41,1,2,2,2,1,1,1,N
510,4,15,4,3,1316,3,3,2,4,1,2,2,47,3,2,2,2,1,1,1,N
511,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,1,2,1,N
512,2,24,3,3,6403,1,2,1,3,1,2,3,33,3,2,1,3,1,1,1,N
513,2,8,2,3,760,1,4,4,2,3,2,1,44,3,2,1,2,1,1,1,N
514,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,1,2,1,N
515,4,4,4,0,3380,1,4,1,2,1,1,1,37,3,2,1,3,2,1,1,N
516,2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,1,1,1,N
517,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,2,2,1,N
518,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,2,2,1,N
519,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,1,1,1,N
520,2,10,1,3,1048,1,3,4,3,1,4,1,23,2,2,1,2,1,1,1,N
521,4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,1,2,1,N
522,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1,N
523,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,1,2,1,N
524,1,13,4,9,1797,1,2,3,3,1,1,2,28,1,2,2,2,1,1,1,N
525,1,15,2,0,2511,1,1,1,2,1,4,3,23,3,1,1,3,1,1,1,N
526,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1,N
527,4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,1,1,1,N
528,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,1,N
529,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1,N
530,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,1,N
531,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,2,1,2,N
532,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,1,N
533,4,15,4,0,5045,5,5,1,2,1,4,3,59,3,2,1,3,1,2,1,N
534,1,12,2,3,2214,1,3,4,3,1,3,2,24,3,2,1,2,1,1,1,N
535,4,24,4,0,2463,2,4,4,4,1,3,2,27,3,2,2,3,1,2,1,N
536,2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,1,1,1,N
537,4,10,2,1,2901,5,2,1,2,1,4,1,31,3,1,1,3,1,1,1,N
538,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,1,N
539,4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,1,2,1,N
540,1,24,2,1,2812,5,5,2,2,1,4,1,26,3,1,1,3,1,1,1,N
541,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,1,2,1,N
542,4,24,4,3,2223,2,5,4,3,1,4,2,52,1,2,2,3,1,1,1,N
543,3,12,4,0,1480,3,1,2,3,1,4,4,66,1,3,3,1,1,1,1,N
544,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1,N
545,1,18,2,3,3509,1,4,4,2,3,1,1,25,3,2,1,3,1,1,1,N
546,4,36,4,1,5711,4,5,4,3,1,2,3,38,3,2,2,4,1,2,1,N
547,2,18,2,5,3872,1,1,2,2,1,4,3,67,3,2,1,3,1,2,1,N
548,4,24,4,0,1940,4,5,4,3,1,4,1,60,3,2,1,3,1,2,1,N
549,2,12,0,8,1410,1,3,2,3,1,2,1,31,3,2,1,2,1,2,1,N
550,2,20,2,1,6468,5,1,1,1,1,4,1,60,3,2,1,4,1,2,1,N
551,2,18,2,9,1941,4,3,4,3,1,2,2,35,3,2,1,2,1,2,1,N
552,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,1,1,1,N
553,4,48,4,1,2751,5,5,4,3,1,3,3,38,3,2,2,3,2,2,1,N
554,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,1,N
555,4,6,4,2,1221,5,3,1,4,1,2,2,27,3,2,2,3,1,1,1,N
556,3,24,2,2,2892,1,5,3,1,1,4,4,51,3,3,1,3,1,1,1,N
557,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,1,N
558,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,1,1,1,N
559,4,12,4,2,1258,1,2,2,2,1,4,2,22,3,1,2,2,1,1,1,N
560,4,24,3,0,717,5,5,4,4,1,4,3,54,3,2,2,3,1,2,1,N
561,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,1,1,1,N
562,4,24,4,6,1597,1,5,4,3,1,4,4,54,3,3,2,3,2,1,1,N
563,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1,N
564,1,20,4,2,4272,1,5,1,2,1,4,2,24,3,2,2,3,1,1,1,N
565,4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1,N
566,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1,N
567,2,6,2,3,590,1,2,3,4,1,3,1,26,3,2,1,2,1,1,2,N
568,4,12,4,3,930,5,5,4,3,1,4,1,65,3,2,4,3,1,1,1,N
569,2,42,1,1,9283,1,1,1,3,1,2,4,55,1,3,1,4,1,2,1,N
570,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,3,1,2,1,N
571,2,6,2,3,484,1,4,3,4,3,3,1,28,1,2,1,2,1,1,1,N
572,2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,3,1,1,1,N
573,4,6,2,4,1338,3,3,1,1,1,4,1,62,3,2,1,3,1,1,1,N
574,4,6,4,3,1554,1,4,1,2,1,2,3,24,3,1,2,3,1,2,1,N
575,1,36,2,10,15857,1,1,2,1,2,3,3,43,3,2,1,4,1,1,1,N
576,4,12,2,0,1101,1,3,3,4,1,2,1,27,3,2,2,3,1,2,1,N
577,3,12,2,3,3016,1,3,3,4,1,1,3,24,3,2,1,3,1,1,1,N
578,1,8,4,0,731,1,5,4,3,1,4,1,47,3,2,2,2,1,1,1,N
579,4,18,4,2,3780,1,2,3,1,1,2,3,35,3,2,2,4,1,2,1,N
580,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,1,N
581,2,48,3,9,6681,5,3,4,3,1,4,4,38,3,3,1,3,2,2,1,N
582,4,24,3,9,2375,3,3,4,3,1,2,3,44,3,2,2,3,2,2,1,N
583,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,1,N
584,4,12,2,3,886,5,3,4,2,1,2,3,21,3,2,1,3,1,1,1,N
585,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,1,N
586,1,24,4,1,2957,1,5,4,3,1,4,2,63,3,2,2,3,1,2,1,N
587,4,24,4,3,2611,1,5,4,4,2,3,1,46,3,2,2,3,1,1,1,N
588,4,21,3,1,2993,1,3,3,3,1,2,1,28,2,2,2,2,1,1,1,N
589,4,24,1,9,1559,1,4,4,3,1,4,3,50,1,2,1,3,1,2,1,N
590,4,18,2,2,3422,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1,N
591,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,1,N
592,4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,1,1,1,N
593,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1,N
594,4,24,4,1,4042,5,4,3,3,1,4,2,43,3,2,2,3,1,2,1,N
595,4,15,4,3,1471,1,3,4,3,1,4,4,35,3,3,2,3,1,2,1,N
596,4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,2,2,1,N
597,4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,1,2,1,N
598,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,1,2,1,N
599,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,1,2,1,N
600,4,9,2,0,3577,2,3,1,3,3,2,1,26,3,1,1,3,2,1,2,N
601,4,24,4,1,5804,4,3,4,3,1,2,1,27,3,2,2,3,1,1,1,N
602,4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,2,2,1,N
603,4,15,2,2,2221,3,3,2,2,1,4,3,20,3,1,1,3,1,1,1,N
604,1,18,2,3,2389,1,2,4,2,1,1,3,27,2,2,1,3,1,1,1,N
605,4,12,4,2,3331,1,5,2,3,1,4,2,42,2,2,1,3,1,1,1,N
606,4,36,2,9,7409,5,5,3,3,1,2,2,37,3,2,2,3,1,1,1,N
607,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,1,N
608,4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,1,2,1,N
609,3,6,4,0,1343,1,5,1,3,1,4,1,46,3,2,2,3,2,1,2,N
610,1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,1,2,1,N
611,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,1,1,1,N
612,1,12,2,2,3590,1,3,2,3,2,2,2,29,3,2,1,2,2,1,1,N
613,2,11,4,0,1322,4,3,4,2,1,4,3,40,3,2,2,3,1,1,1,N
